[2023-04-02 09:00:51] No settings files found: D:/Users/Srujan/Downloads/mindustry-server/config/settings.bin and D:/Users/Srujan/Downloads/mindustry-server/config/settings_backup.bin
[2023-04-02 09:00:54] Saving 2 values; 44 bytes
[2023-04-02 09:01:54] Saving 2 values; 44 bytes
[2023-04-02 09:02:54] Saving 2 values; 44 bytes
[2023-04-02 09:04:09] Loaded 2 values
[2023-04-02 09:04:09] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2023-04-02 09:04:10] Saving 2 values; 44 bytes
[2023-04-02 09:05:10] Saving 2 values; 44 bytes
[2023-04-02 09:06:10] Saving 2 values; 44 bytes
[2023-04-02 09:06:11] Saving 2 values; 44 bytes
[2023-04-02 09:06:11] Saving 3 values; 71 bytes
[2023-04-02 09:06:11] Saving 3 values; 71 bytes
[2023-04-02 09:07:10] Saving 3 values; 71 bytes
[2023-04-02 09:08:10] Saving 3 values; 71 bytes
[2023-04-02 09:09:10] Saving 3 values; 71 bytes
[2023-04-02 09:10:10] Saving 3 values; 71 bytes
[2023-04-02 09:11:10] Saving 3 values; 71 bytes
[2023-04-02 09:12:07] Saving 3 values; 71 bytes
[2023-04-02 09:12:07] Saving 3 values; 71 bytes
[2023-04-02 09:12:07] Saving 3 values; 71 bytes
[2023-04-02 09:12:10] Saving 3 values; 71 bytes
[2023-04-02 09:13:10] Saving 3 values; 71 bytes
[2023-04-02 09:14:10] Saving 3 values; 71 bytes
[2023-04-02 09:15:10] Saving 3 values; 71 bytes
[2023-04-02 09:16:10] Saving 3 values; 71 bytes
[2023-04-02 09:17:10] Saving 3 values; 71 bytes
[2023-04-02 09:17:54] Saving 3 values; 71 bytes
[2023-04-02 09:17:54] Saving 3 values; 71 bytes
[2023-04-02 09:17:54] Saving 3 values; 71 bytes
[2023-04-02 09:18:10] Saving 3 values; 71 bytes
[2023-04-02 09:19:10] Saving 3 values; 71 bytes
[2023-04-02 09:20:10] Saving 3 values; 71 bytes
[2023-04-02 09:21:10] Saving 3 values; 71 bytes
[2023-04-02 09:22:10] Saving 3 values; 71 bytes
[2023-04-02 09:23:10] Saving 8 values; 399 bytes
[2023-04-02 09:24:10] Saving 8 values; 399 bytes
[2023-04-02 09:25:10] Saving 8 values; 399 bytes
[2023-04-02 09:26:10] Saving 8 values; 399 bytes
[2023-04-02 09:27:10] Saving 8 values; 399 bytes
[2023-04-02 09:28:10] Saving 8 values; 399 bytes
[2023-04-02 09:29:10] Saving 8 values; 399 bytes
[2023-04-02 09:30:10] Saving 8 values; 399 bytes
[2023-04-02 09:30:15] Saving 8 values; 399 bytes
[2023-04-02 09:30:15] Saving 8 values; 399 bytes
[2023-04-02 09:30:16] Saving 8 values; 399 bytes
[2023-04-02 09:31:10] Saving 8 values; 399 bytes
[2023-04-02 09:32:10] Saving 8 values; 399 bytes
[2023-04-02 09:33:10] Saving 8 values; 399 bytes
[2023-04-02 09:34:10] Saving 8 values; 399 bytes
[2023-04-02 09:35:10] Saving 8 values; 399 bytes
[2023-04-02 09:36:10] Saving 8 values; 399 bytes
[2023-04-02 09:36:13] Saving 8 values; 399 bytes
[2023-04-02 09:36:13] Saving 8 values; 399 bytes
[2023-04-02 09:36:13] Saving 8 values; 399 bytes
[2023-04-02 09:37:10] Saving 8 values; 399 bytes
[2023-04-02 09:38:10] Saving 8 values; 399 bytes
[2023-04-02 09:39:10] Saving 8 values; 399 bytes
[2023-04-02 09:40:10] Saving 8 values; 399 bytes
[2023-04-02 09:41:10] Saving 8 values; 399 bytes
[2023-04-02 09:41:40] Saving 8 values; 399 bytes
[2023-04-02 09:41:40] Saving 8 values; 399 bytes
[2023-04-02 09:41:41] Saving 8 values; 399 bytes
[2023-04-02 09:42:10] Saving 8 values; 399 bytes
[2023-04-02 09:43:10] Saving 8 values; 399 bytes
[2023-04-02 09:44:10] Saving 8 values; 399 bytes
[2023-04-02 09:45:10] Saving 8 values; 399 bytes
[2023-04-02 09:46:10] Saving 8 values; 399 bytes
[2023-04-02 09:47:10] Saving 8 values; 399 bytes
[2023-04-02 09:47:25] Saving 8 values; 399 bytes
[2023-04-02 09:47:25] Saving 8 values; 399 bytes
[2023-04-02 09:47:25] Saving 8 values; 399 bytes
[2023-04-02 09:48:10] Saving 8 values; 399 bytes
[2023-04-02 09:49:10] Saving 8 values; 399 bytes
[2023-04-02 09:50:10] Saving 8 values; 399 bytes
[2023-04-02 09:51:10] Saving 8 values; 399 bytes
[2023-04-02 09:52:10] Saving 8 values; 399 bytes
[2023-04-02 09:53:10] Saving 8 values; 399 bytes
[2023-04-02 09:53:45] Saving 8 values; 399 bytes
[2023-04-02 09:53:45] Saving 8 values; 399 bytes
[2023-04-02 09:53:45] Saving 8 values; 399 bytes
[2023-04-02 09:54:10] Saving 8 values; 399 bytes
[2023-04-02 09:55:10] Saving 8 values; 399 bytes
[2023-04-02 09:56:10] Saving 8 values; 399 bytes
[2023-04-02 09:57:10] Saving 8 values; 399 bytes
[2023-04-02 09:58:10] Saving 8 values; 399 bytes
[2023-04-02 09:59:10] Saving 8 values; 399 bytes
[2023-04-02 09:59:17] Saving 8 values; 399 bytes
[2023-04-02 09:59:17] Saving 8 values; 399 bytes
[2023-04-02 09:59:19] Saving 8 values; 399 bytes
[2023-04-02 10:00:10] Saving 8 values; 399 bytes
[2023-04-02 10:01:10] Saving 8 values; 399 bytes
[2023-04-02 10:02:10] Saving 8 values; 399 bytes
[2023-04-02 10:03:10] Saving 8 values; 399 bytes
[2023-04-02 10:04:10] Saving 8 values; 399 bytes
[2023-04-02 10:05:10] Saving 8 values; 399 bytes
[2023-04-02 10:05:12] Saving 8 values; 399 bytes
[2023-04-02 10:05:12] Saving 8 values; 399 bytes
[2023-04-02 10:05:12] Saving 8 values; 399 bytes
[2023-04-02 10:17:18] Saving 8 values; 399 bytes
[2023-04-02 10:18:18] Saving 8 values; 399 bytes
[2023-04-02 10:19:18] Saving 8 values; 399 bytes
[2023-04-02 10:19:36] Saving 8 values; 399 bytes
[2023-04-02 10:19:36] Saving 8 values; 399 bytes
[2023-04-02 10:19:36] Saving 8 values; 399 bytes
[2023-04-02 10:20:18] Saving 8 values; 399 bytes
[2023-04-02 10:21:18] Saving 8 values; 399 bytes
[2023-04-02 10:22:18] Saving 8 values; 399 bytes
[2023-04-02 10:23:18] Saving 8 values; 399 bytes
[2023-04-02 10:24:18] Saving 8 values; 399 bytes
[2023-04-02 10:25:18] Saving 8 values; 399 bytes
[2023-04-02 10:26:18] Saving 8 values; 399 bytes
[2023-04-02 10:26:30] Saving 8 values; 399 bytes
[2023-04-02 10:26:30] Saving 8 values; 399 bytes
[2023-04-02 10:26:30] Saving 8 values; 399 bytes
[2023-04-02 10:27:18] Saving 8 values; 399 bytes
[2023-04-02 10:28:18] Saving 8 values; 399 bytes
[2023-04-02 10:29:18] Saving 8 values; 399 bytes
[2023-04-02 10:30:18] Saving 8 values; 399 bytes
[2023-04-02 10:31:18] Saving 8 values; 399 bytes
[2023-04-02 10:32:18] Saving 8 values; 399 bytes
[2023-04-02 10:32:49] Saving 8 values; 399 bytes
[2023-04-02 10:32:50] Saving 8 values; 399 bytes
[2023-04-02 10:32:50] Saving 8 values; 399 bytes
